BiomarcadorID;Expressao_Tumoral;Conservacao;Similaridade_Humana;Localizacao
B0000928;34.12;99;32;0
B0000929;91.24;67;11;1
B0000930;61.11;90;20;1
B0000931;67.5;86;7;2
B0000932;81.49;94;44;0
B0000933;87.75;99;25;2
B0000934;22.1;73;28;2
B0000935;59.48;89;8;1
B0000936;34.02;63;32;2
B0000937;53.7;63;19;2
B0000938;29.88;81;6;0
B0000939;54.57;88;71;1
B0000940;24.76;82;27;1
B0000941;83.15;84;96;0
B0000942;99.6;78;14;1
B0000943;32.81;100;8;1
B0000944;22.56;68;88;2
B0000945;57.15;61;9;2
B0000946;34.39;91;82;2
B0000947;36.86;92;19;0
B0000948;98.18;89;24;0
B0000949;25.04;77;23;1
B0000950;34.95;97;0;0
B0000951;20.31;100;89;1
B0000952;70.56;68;21;2
B0000953;34.52;73;4;0
B0000954;59.98;84;96;0
B0000955;56.39;64;95;2
B0000956;24.28;68;37;0
B0000957;44.06;75;24;1
B0000958;83.71;79;16;1
B0000959;35.13;76;21;0
B0000960;94.17;92;1;0
B0000961;67.55;89;4;2
B0000962;66.22;63;26;2
B0000963;96.61;82;1;1
B0000964;52.81;73;52;2
B0000965;31.32;70;4;0
B0000966;30.3;65;17;1
B0000967;82.9;81;8;0
B0000968;91.34;74;75;1
B0000969;58.06;87;25;1
B0000970;47.09;100;54;0
B0000971;62.69;61;10;0
B0000972;40.14;99;46;2
B0000973;77.63;93;29;1
B0000974;58.75;85;12;2
B0000975;43.9;64;33;0
B0000976;59.99;82;5;2
B0000977;24.72;65;29;0
B0000978;36.35;74;3;0
B0000979;85.31;61;26;2
B0000980;56.36;88;3;1
B0000981;77.23;93;29;0
B0000982;63.23;92;89;1
B0000983;85.72;63;88;0
B0000984;36.9;83;12;0
B0000985;26.27;93;68;0
B0000986;36.54;95;20;0
B0000987;36.5;67;10;1
B0000988;50.29;77;29;0
B0000989;39.31;75;9;1
B0000990;43.48;86;4;1
B0000991;84.97;84;21;2
B0000992;64.21;76;45;1
B0000993;29.87;87;54;0
B0000994;32.71;62;24;2
B0000995;40.11;93;93;2
B0000996;45.49;85;26;1
B0000997;98.37;93;25;2
B0000998;25.95;91;3;2
B0000999;49.56;85;77;0
B0001000;56.84;85;8;0
